IdCiudad;Nombre;Apellido;FechaNacimiento;EstadoCivil;Genero;Email;IngresoAnual;TotalHijos;CantHijosEnCasa;Educacion;Ocupacion;Propietario;CantAutomoviles;Direccion;Telefono;Distancia;Region;Edad;prediction(ComproBicicleta);$T-Bietápico;Tipo Bicicleta
369;Hannah;Price;27107;S;F;hannah23@mineriadedatos.com.ar;30000;0;0;Estudios universitarios (en curso);Obrero especializado;1;1;8586 D Kiska Ct.;657-555-0114;5-10 Km.;Norte;39;1;Cluster-1;Basic
168;Meredith;Sai;22365;C;F;meredith4@mineriadedatos.com.ar;30000;4;0;Estudios de postgrado;Administrativo;1;0;Parkstr 4852;500 555-0158;0-1 Km.;Centro;52;1;Cluster-1;Basic
634;Luke;Hernandez;22832;C;M;luke47@mineriadedatos.com.ar;70000;1;0;Estudios universitarios (en curso);Obrero especializado;1;1;5749 Elkwood Dr.;367-555-0120;2-5 Km.;Norte;50;1;Cluster-1;Basic
22;Dana;Diaz;26024;C;F;dana19@mineriadedatos.com.ar;160000;4;5;EducaciÃ³n secundaria (en curso);GestiÃ³n;0;4;2241 Concord Place;500 555-0194;10+ Km.;Sur;42;1;Cluster-2;Kinder y Sports
18;Cesar;Kapoor;20848;C;M;cesar1@mineriadedatos.com.ar;70000;2;0;EducaciÃ³n secundaria;Obrero especializado;1;2;6387 Scenic Avenue;500 555-0118;5-10 Km.;Sur;56;1;Cluster-1;Basic
301;Clinton;Serrano;24082;C;M;clinton13@mineriadedatos.com.ar;110000;2;2;Licenciatura;GestiÃ³n;1;3;7700 Meaham Drive;158-555-0197;2-5 Km.;Norte;47;1;Cluster-2;Kinder y Sports
22;Lacey;Pal;20136;S;F;lacey2@mineriadedatos.com.ar;80000;2;0;Estudios universitarios (en curso);Obrero especializado;0;2;6890 Highland Road;500 555-0197;1-2 Km.;Sur;58;1;Cluster-3;Basic
245;Randall;Torres;23667;C;M;randall13@mineriadedatos.com.ar;40000;1;0;Licenciatura;Obrero especializado;1;0;2319 Hilltop Dr.;500 555-0160;0-1 Km.;Centro;48;1;Cluster-1;Basic
50;Edward;Foster;25042;C;M;edward64@mineriadedatos.com.ar;90000;4;4;Licenciatura;GestiÃ³n;1;1;2106 Chilpancingo Pkwy.;829-555-0111;0-1 Km.;Norte;44;1;Cluster-2;Kinder y Sports
20;Latoya;Nath;25639;S;F;latoya17@mineriadedatos.com.ar;90000;2;0;Licenciatura;Profesional;0;0;1362 Geary Road;500 555-0183;0-1 Km.;Sur;43;1;Cluster-3;Basic
261;Sandra;Zhao;24294;C;F;sandra17@mineriadedatos.com.ar;40000;0;0;Licenciatura;Profesional;1;0;4698 G Street;500 555-0162;0-1 Km.;Centro;46;1;Cluster-1;Basic
246;Kate;Jai;26445;S;F;kate9@mineriadedatos.com.ar;40000;2;2;Estudios universitarios (en curso);Administrativo;1;0;8307 Monument Blvd.;500 555-0150;0-1 Km.;Centro;40;1;Cluster-1;Basic
322;Brianna;Moore;25254;C;F;brianna6@mineriadedatos.com.ar;50000;2;2;Licenciatura;Obrero especializado;1;0;2545 Crowe Place;590-555-0112;0-1 Km.;Norte;44;1;Cluster-1;Basic
60;David;Powell;22377;C;M;david41@mineriadedatos.com.ar;60000;1;0;Estudios universitarios (en curso);Obrero especializado;1;1;6774 Alier Drive;205-555-0184;2-5 Km.;Norte;52;1;Cluster-1;Basic
7;Carrie;Munoz;27858;C;F;carrie7@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;1;3;5558 Kaitlin Pl.;500 555-0120;10+ Km.;Sur;37;1;Cluster-1;Basic
70;Amanda;Collins;21626;C;F;amanda46@mineriadedatos.com.ar;550000;4;0;Estudios de postgrado;Obrero especializado;1;0;9663 East 38th St;806-555-0151;1-2 Km.;Norte;54;1;Cluster-2;Kinder y Sports
185;Ruben;Chandra;25994;C;M;ruben2@mineriadedatos.com.ar;30000;0;0;EducaciÃ³n secundaria;Obrero;0;1;Midi-Couleurs;500 555-0180;1-2 Km.;Centro;42;1;Cluster-3;Basic
312;Abigail;Jenkins;25308;S;F;abigail32@mineriadedatos.com.ar;50000;2;2;Licenciatura;Obrero especializado;0;0;4838 Second Street;135-555-0132;0-1 Km.;Norte;44;1;Cluster-3;Basic
260;Jay;Sanz;21832;S;M;jay50@mineriadedatos.com.ar;30000;3;0;Estudios de postgrado;Administrativo;1;0;5591 Garcia Ranch Road;500 555-0159;0-1 Km.;Centro;53;1;Cluster-1;Basic
34;Robin;Carlson;20664;C;F;robin14@mineriadedatos.com.ar;80000;2;0;EducaciÃ³n secundaria;Obrero especializado;1;2;4579 Glenside Drive;500 555-0170;5-10 Km.;Sur;56;1;Cluster-1;Basic
31;Colin;Xu;22082;S;M;colin13@mineriadedatos.com.ar;60000;1;0;Estudios universitarios (en curso);Obrero especializado;1;1;5133 Serrana Ct.;500 555-0179;5-10 Km.;Sur;52;1;Cluster-1;Basic
641;Tyler;Robinson;25864;C;M;tyler16@mineriadedatos.com.ar;70000;3;0;Estudios de postgrado;Profesional;1;0;8069 Vine Hill Way;936-555-0175;2-5 Km.;Norte;42;1;Cluster-1;Basic
151;Marvin;Browning;24039;C;M;marvin16@mineriadedatos.com.ar;40000;1;0;Licenciatura;Obrero especializado;1;0;Buergermeister-ulrich-str 098;500 555-0155;0-1 Km.;Centro;47;1;Cluster-1;Basic
644;Brianna;Alexander;13959;C;F;brianna64@mineriadedatos.com.ar;90000;5;0;Licenciatura;GestiÃ³n;1;2;6608 Calle Verde Dr.;242-555-0137;5-10 Km.;Norte;75;1;Cluster-1;Basic
40;Glenn;Wu;14715;C;M;glenn7@mineriadedatos.com.ar;40000;2;0;Licenciatura;GestiÃ³n;0;2;5934 Warmcastle Ct.;500 555-0127;0-1 Km.;Sur;73;1;Cluster-3;Basic
300;Jada;Collins;24722;S;F;jada15@mineriadedatos.com.ar;70000;2;2;Licenciatura;Obrero especializado;1;1;1978 Medina Dr.;169-555-0194;2-5 Km.;Norte;45;1;Cluster-1;Basic
254;Cindy;Garcia;16171;C;F;cindy15@mineriadedatos.com.ar;130000;3;4;Licenciatura;GestiÃ³n;1;4;1775 Chocolate Court;500 555-0178;0-1 Km.;Centro;69;1;Cluster-2;Kinder y Sports
20;Meagan;Raman;26624;S;F;meagan12@mineriadedatos.com.ar;90000;0;0;Licenciatura;Profesional;1;3;5640 Icicle Way;500 555-0151;10+ Km.;Sur;40;1;Cluster-1;Basic
36;Jarrod;Suri;23365;S;M;jarrod0@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;2;7265 Mt. Dell Dr.;500 555-0128;0-1 Km.;Sur;49;1;Cluster-3;Basic
49;Kristi;Ramos;26724;C;F;kristi13@mineriadedatos.com.ar;70000;0;0;Estudios universitarios (en curso);Profesional;1;2;4594 Springer Court;187-555-0112;5-10 Km.;Norte;40;1;Cluster-1;Basic
24;Sheena;Pal;22303;S;F;sheena10@mineriadedatos.com.ar;60000;1;0;Licenciatura;Profesional;1;1;4399 Price Lane;500 555-0169;5-10 Km.;Sur;52;1;Cluster-1;Basic
383;David;Long;20775;C;M;david42@mineriadedatos.com.ar;80000;2;0;EducaciÃ³n secundaria (en curso);Obrero especializado;1;2;1180 Rhea Ct;415-555-0123;5-10 Km.;Norte;56;1;Cluster-1;Basic
329;Taylor;Richardson;21936;C;F;taylor12@mineriadedatos.com.ar;60000;1;0;Estudios universitarios (en curso);Obrero especializado;1;1;6369 Ellis Street;545-555-0144;2-5 Km.;Norte;53;1;Cluster-1;Basic
623;Alyssa;Bailey;20915;C;F;alyssa33@mineriadedatos.com.ar;70000;2;0;EducaciÃ³n secundaria (en curso);Obrero especializado;1;2;8811 Lombardy Lane;715-555-0165;5-10 Km.;Norte;56;1;Cluster-1;Basic
124;Brandy;Malhotra;26464;C;F;brandy0@mineriadedatos.com.ar;40000;1;1;Licenciatura;Obrero especializado;1;1;Heiderplatz 789;500 555-0121;1-2 Km.;Centro;40;1;Cluster-1;Basic
31;Marshall;She;25321;C;M;marshall21@mineriadedatos.com.ar;110000;1;0;Estudios de postgrado;GestiÃ³n;1;1;3140 Park Tree Ct;500 555-0120;5-10 Km.;Sur;44;1;Cluster-1;Basic
13;Randy;Zheng;28935;C;M;randy22@mineriadedatos.com.ar;10000;0;0;Estudios universitarios (en curso);Obrero;0;1;4798 San Benito Dr.;500 555-0182;0-1 Km.;Sur;34;1;Cluster-3;Basic
18;Luke;Foster;26524;C;M;luke5@mineriadedatos.com.ar;100000;0;5;EducaciÃ³n secundaria;GestiÃ³n;1;3;2024 Belle Dr;500 555-0115;10+ Km.;Sur;40;1;Cluster-2;Kinder y Sports
10;Cristina;Tang;21499;C;F;cristina4@mineriadedatos.com.ar;100000;4;0;Licenciatura;GestiÃ³n;1;2;7223 Brush Creek Court;500 555-0188;0-1 Km.;Sur;54;1;Cluster-1;Basic
300;Seth;Anderson;22422;C;M;seth10@mineriadedatos.com.ar;110000;1;3;Licenciatura;GestiÃ³n;1;3;8922 Lindley Ct.;485-555-0124;5-10 Km.;Norte;52;1;Cluster-2;Kinder y Sports
361;Dalton;Washington;24420;C;M;dalton59@mineriadedatos.com.ar;70000;4;0;Estudios de postgrado;Profesional;1;0;4575 Pinehurst Court;914-555-0114;0-1 Km.;Norte;46;1;Cluster-1;Basic
315;Xavier;Ramirez;25984;S;M;xavier73@mineriadedatos.com.ar;70000;3;0;Estudios de postgrado;Profesional;0;0;4451 Argonne Dr.;436-555-0119;0-1 Km.;Norte;42;1;Cluster-3;Basic
24;Terry;Lal;22903;C;M;terry12@mineriadedatos.com.ar;60000;1;0;Licenciatura;Profesional;1;1;2241 V St.;500 555-0172;0-1 Km.;Sur;50;1;Cluster-1;Basic
17;Jay;Arthur;26309;S;M;jay13@mineriadedatos.com.ar;120000;0;5;EducaciÃ³n secundaria (en curso);Profesional;1;4;5898 Mt. Dell;500 555-0169;10+ Km.;Sur;41;1;Cluster-2;Kinder y Sports
241;Riley;Hayes;22810;S;F;riley19@mineriadedatos.com.ar;30000;1;0;Estudios universitarios (en curso);Administrativo;1;1;4766 Palm Ave;500 555-0110;2-5 Km.;Centro;50;1;Cluster-1;Basic
59;Kayla;Flores;27168;S;F;kayla36@mineriadedatos.com.ar;50000;0;0;Estudios de postgrado;Obrero especializado;1;0;1956 Sequoia Dr.;797-555-0199;1-2 Km.;Norte;39;1;Cluster-1;Basic
51;Kaylee;Phillips;22703;C;F;kaylee27@mineriadedatos.com.ar;70000;1;0;Estudios universitarios (en curso);Obrero especializado;1;1;531 Northridge Drive;745-555-0127;0-1 Km.;Norte;51;1;Cluster-1;Basic
374;Megan;Moore;25259;C;F;megan11@mineriadedatos.com.ar;80000;3;0;Estudios de postgrado;Profesional;0;0;4612 Merriewood Drive;838-555-0114;0-1 Km.;Norte;44;1;Cluster-3;Basic
25;Adrian;Watson;25706;S;M;adrian2@mineriadedatos.com.ar;90000;0;0;Licenciatura;Profesional;0;4;3205 Sierra Drive;500 555-0143;10+ Km.;Sur;43;1;Cluster-3;Basic
38;Bob;Alan;26033;S;M;bob6@mineriadedatos.com.ar;100000;0;5;EducaciÃ³n secundaria;GestiÃ³n;1;4;2371 Deerfield Dr.;500 555-0179;10+ Km.;Sur;42;1;Cluster-2;Kinder y Sports
2;Bryant;Perez;28146;S;M;bryant20@mineriadedatos.com.ar;20000;0;0;Estudios universitarios (en curso);Obrero;0;0;1502 Marion Ct.;500 555-0189;0-1 Km.;Sur;36;1;Cluster-3;Basic
612;Linda;Hernandez;26726;C;F;linda18@mineriadedatos.com.ar;70000;0;0;Estudios universitarios (en curso);Profesional;1;2;582 Ofarrell Dr;591-555-0144;5-10 Km.;Norte;40;1;Cluster-1;Basic
274;Kristen;Ye;23417;S;F;kristen8@mineriadedatos.com.ar;20000;3;3;EducaciÃ³n secundaria;Obrero;1;0;579 Meager Dr.;500 555-0146;0-1 Km.;Centro;49;1;Cluster-1;Basic
190;Ramon;Zhao;26073;S;M;ramon10@mineriadedatos.com.ar;40000;2;2;Estudios universitarios (en curso);Administrativo;1;1;1234  rue Ste-HonorÃ©;500 555-0192;1-2 Km.;Centro;42;1;Cluster-1;Basic
644;Hunter;Johnson;22254;C;M;hunter60@mineriadedatos.com.ar;60000;1;0;Estudios universitarios (en curso);Obrero especializado;1;1;1958 Weaver Court;436-555-0161;2-5 Km.;Norte;52;1;Cluster-1;Basic
355;Brittany;Foster;26393;C;F;brittany14@mineriadedatos.com.ar;70000;2;0;Estudios de postgrado;Profesional;1;0;2546 Woodchuck Pl;442-555-0178;2-5 Km.;Norte;41;1;Cluster-1;Basic
39;Jason;Butler;20355;S;M;jason11@mineriadedatos.com.ar;80000;2;0;EducaciÃ³n secundaria;Obrero especializado;1;2;3608 Sinclair Avenue;500 555-0130;5-10 Km.;Sur;57;1;Cluster-1;Basic
218;Misty;Yuan;25833;S;F;misty8@mineriadedatos.com.ar;30000;0;0;Licenciatura;Administrativo;1;0;11  rue du DÃ©part;500 555-0182;0-1 Km.;Centro;42;1;Cluster-1;Basic
372;Maria;Ross;20962;C;F;maria27@mineriadedatos.com.ar;70000;2;0;EducaciÃ³n secundaria (en curso);Obrero especializado;1;2;7134 Oakwood Cir;669-555-0171;5-10 Km.;Norte;56;1;Cluster-1;Basic
115;Alvin;Xu;22352;C;M;alvin12@mineriadedatos.com.ar;30000;4;0;Estudios de postgrado;Administrativo;1;0;Rehstr 1346;500 555-0115;0-1 Km.;Centro;52;1;Cluster-1;Basic
211;Alvin;Liu;25853;C;M;alvin5@mineriadedatos.com.ar;30000;0;0;Licenciatura;Administrativo;0;0;4775 Imperial Dr.;500 555-0111;0-1 Km.;Centro;42;1;Cluster-3;Basic
648;Austin;Flores;25212;C;M;austin8@mineriadedatos.com.ar;50000;2;2;Licenciatura;Obrero especializado;1;0;6940 Hilltop Dr;690-555-0141;2-5 Km.;Norte;44;1;Cluster-1;Basic
627;Marcus;Brooks;22721;S;M;marcus75@mineriadedatos.com.ar;100000;1;2;Estudios universitarios (en curso);Profesional;0;3;7008 Buckingham Dr.;134-555-0197;1-2 Km.;Norte;51;1;Cluster-3;Basic
26;Jon;Yang;24205;C;M;jon24@mineriadedatos.com.ar;90000;2;0;Licenciatura;Profesional;1;0;3761 N. 14th St;500 555-0162;1-2 Km.;Sur;47;1;Cluster-1;Basic
52;Timothy;Morgan;22561;C;M;timothy14@mineriadedatos.com.ar;60000;1;0;Estudios universitarios (en curso);Obrero especializado;1;1;3605 Sinclair Ave.;209-555-0183;2-5 Km.;Norte;51;1;Cluster-1;Basic
177;Damien;He;23117;C;M;damien14@mineriadedatos.com.ar;20000;3;3;EducaciÃ³n secundaria;Obrero;1;1;Hellweg 4244;500 555-0141;0-1 Km.;Centro;50;1;Cluster-1;Basic
374;Connor;Hernandez;20369;C;M;connor45@mineriadedatos.com.ar;40000;1;0;Estudios universitarios (en curso);Administrativo;1;1;9340 Long Brook Way;141-555-0193;1-2 Km.;Norte;57;1;Cluster-1;Basic
616;Miguel;Miller;21367;C;M;miguel5@mineriadedatos.com.ar;80000;5;4;Estudios de postgrado;Profesional;1;0;4293 Concord Ct.;397-555-0155;0-1 Km.;Norte;54;1;Cluster-1;Basic
347;Kayla;Harrison;26821;C;F;kayla14@mineriadedatos.com.ar;40000;1;0;Estudios de postgrado;Obrero especializado;1;0;5966 El Molino Dr.;116-555-0154;1-2 Km.;Norte;39;1;Cluster-1;Basic
246;Terrance;Jordan;21790;C;M;terrance1@mineriadedatos.com.ar;20000;2;0;Estudios universitarios (en curso);Obrero;1;1;112 Kathleen Drive;500 555-0145;0-1 Km.;Centro;53;1;Cluster-1;Basic
10;Philip;Rubio;27876;S;M;philip20@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;2;3586 Everett Court;500 555-0147;10+ Km.;Sur;37;1;Cluster-3;Basic
607;Abigail;Peterson;20867;C;F;abigail19@mineriadedatos.com.ar;70000;2;0;EducaciÃ³n secundaria (en curso);Obrero especializado;1;2;3886 Valencia Place;751-555-0198;5-10 Km.;Norte;56;1;Cluster-1;Basic
635;Anna;Price;24980;S;F;anna25@mineriadedatos.com.ar;60000;2;2;Licenciatura;Obrero especializado;0;0;3884 Beauty Street;398-555-0123;0-1 Km.;Norte;45;1;Cluster-3;Basic
203;Micheal;Suarez;24418;S;M;micheal15@mineriadedatos.com.ar;20000;1;1;EducaciÃ³n secundaria;Obrero;1;1;44  rue Saint Denis;500 555-0182;2-5 Km.;Centro;46;1;Cluster-1;Basic
13;Monique;Navarro;19639;C;F;monique6@mineriadedatos.com.ar;40000;2;0;Licenciatura;GestiÃ³n;1;1;8486 Hazelwood Lane;500 555-0114;0-1 Km.;Sur;59;1;Cluster-1;Basic
178;Tabitha;Jimenez;20343;C;F;tabitha25@mineriadedatos.com.ar;130000;3;4;Estudios universitarios (en curso);Profesional;1;3;Helsenbergbogen 6;500 555-0146;0-1 Km.;Centro;57;1;Cluster-2;Kinder y Sports
239;Theodore;Vazquez;20221;C;M;theodore15@mineriadedatos.com.ar;130000;3;4;Estudios universitarios (en curso);Profesional;1;3;7490 Sharon Dr;500 555-0126;0-1 Km.;Centro;58;1;Cluster-2;Kinder y Sports
23;Miguel;Wright;27967;S;M;miguel28@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;2;3070 Sahara Drive;500 555-0159;5-10 Km.;Sur;36;1;Cluster-3;Basic
5;Lori;Moreno;23320;S;F;lori9@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;2;792 Myrtle Drive;500 555-0192;0-1 Km.;Sur;49;1;Cluster-3;Basic
278;Alberto;Romero;24091;C;M;alberto10@mineriadedatos.com.ar;40000;1;0;Licenciatura;Obrero especializado;1;0;2348 Fruitwood;500 555-0133;0-1 Km.;Centro;47;1;Cluster-1;Basic
310;Barry;Garcia;18495;S;M;barry15@mineriadedatos.com.ar;60000;2;1;Estudios universitarios (en curso);Profesional;0;1;3831 Golden Gate Way;774-555-0124;2-5 Km.;Norte;62;1;Cluster-3;Basic
536;Audrey;Gill;19553;C;F;audrey15@mineriadedatos.com.ar;30000;1;0;Licenciatura;Obrero especializado;1;1;5989 Concord Ave;208-555-0186;1-2 Km.;Norte;59;1;Cluster-1;Basic
312;Isaac;Ward;19126;S;M;isaac12@mineriadedatos.com.ar;70000;2;1;EducaciÃ³n secundaria (en curso);Obrero especializado;1;3;8380 Toyon Dr.;272-555-0189;10+ Km.;Norte;61;1;Cluster-1;Basic
314;Hunter;Rodriguez;20032;C;M;hunter53@mineriadedatos.com.ar;80000;2;0;EducaciÃ³n secundaria (en curso);Obrero especializado;1;2;4343 Cook Street;996-555-0142;5-10 Km.;Norte;58;1;Cluster-1;Basic
301;Heidi;Perez;24907;S;F;heidi24@mineriadedatos.com.ar;130000;1;0;Estudios de postgrado;GestiÃ³n;0;2;6110 Price Lane;904-555-0191;0-1 Km.;Norte;45;1;Cluster-3;Basic
24;Marc;Alvarez;26164;C;M;marc8@mineriadedatos.com.ar;160000;5;5;EducaciÃ³n secundaria (en curso);GestiÃ³n;0;4;498 Willow Pass Rd;500 555-0181;10+ Km.;Sur;41;1;Cluster-2;Kinder y Sports
20;Lacey;Li;21204;S;F;lacey15@mineriadedatos.com.ar;130000;0;0;Estudios de postgrado;GestiÃ³n;0;3;826 Coggins Dr.;500 555-0141;0-1 Km.;Sur;55;1;Cluster-3;Basic
361;Kevin;Green;21224;C;M;kevin52@mineriadedatos.com.ar;60000;1;0;Licenciatura;Profesional;1;1;9475 Bellwood Dr.;147-555-0128;2-5 Km.;Norte;55;1;Cluster-1;Basic
6;Kari;Sanz;28024;S;F;kari41@mineriadedatos.com.ar;80000;0;0;Licenciatura;Profesional;0;2;1884 Scottsdale Road;500 555-0142;10+ Km.;Sur;36;1;Cluster-3;Basic
243;Gerald;Sai;21768;S;M;gerald35@mineriadedatos.com.ar;20000;2;0;Estudios universitarios (en curso);Obrero;1;1;7144 Flagstone Way;500 555-0182;2-5 Km.;Centro;53;1;Cluster-1;Basic
361;Antonio;Price;20290;C;M;antonio0@mineriadedatos.com.ar;40000;1;0;Estudios universitarios (en curso);Administrativo;1;1;4451 Carmel Dr.;652-555-0177;1-2 Km.;Norte;57;1;Cluster-1;Basic
209;Stacey;Lu;23147;S;F;stacey12@mineriadedatos.com.ar;30000;3;3;Estudios universitarios (en curso);Administrativo;1;0;67  avenue de lÂ´ Union Centrale;500 555-0157;0-1 Km.;Centro;50;1;Cluster-1;Basic
38;Edwin;Bhat;20877;S;M;edwin43@mineriadedatos.com.ar;80000;2;0;EducaciÃ³n secundaria;Profesional;0;2;4779 Scenic Dr.;500 555-0137;5-10 Km.;Sur;56;1;Cluster-3;Basic
9;Lacey;Raje;25625;C;F;lacey4@mineriadedatos.com.ar;100000;0;5;EducaciÃ³n secundaria (en curso);Profesional;1;4;8986 Rubiem Ct;500 555-0115;10+ Km.;Sur;43;1;Cluster-2;Kinder y Sports
345;Jose;Gonzalez;25632;C;M;jose44@mineriadedatos.com.ar;40000;1;1;Licenciatura;Obrero especializado;1;0;3648 Willow Drive;655-555-0121;0-1 Km.;Norte;43;1;Cluster-1;Basic
175;Daisy;Alonso;25671;C;F;daisy4@mineriadedatos.com.ar;40000;2;2;Estudios universitarios (en curso);Administrativo;1;0;Buergermeister-ulrich-str 4111;500 555-0126;1-2 Km.;Centro;43;1;Cluster-1;Basic
263;Shawn;Deng;19604;C;M;shawn3@mineriadedatos.com.ar;150000;3;5;Licenciatura;GestiÃ³n;1;3;4678 Pelican Loop;500 555-0164;10+ Km.;Centro;59;1;Cluster-2;Kinder y Sports
60;Ryan;Anderson;12408;C;M;ryan49@mineriadedatos.com.ar;50000;2;0;Estudios de postgrado;GestiÃ³n;1;2;9093 Gilardy Dr.;630-555-0121;5-10 Km.;Norte;79;1;Cluster-1;Basic
20;Kristen;Hu;20624;S;F;kristen17@mineriadedatos.com.ar;80000;2;0;EducaciÃ³n secundaria;Obrero especializado;0;2;6049 Dalis Dr.;500 555-0112;1-2 Km.;Sur;56;1;Cluster-3;Basic
226;Ricardo;Luo;20959;C;M;ricardo5@mineriadedatos.com.ar;100000;2;3;Estudios universitarios (en curso);Profesional;1;3;6  route de Marseille;500 555-0114;5-10 Km.;Centro;56;1;Cluster-2;Kinder y Sports
69;Brandon;Perry;20377;S;M;brandon5@mineriadedatos.com.ar;90000;2;1;EducaciÃ³n secundaria;Profesional;1;1;384 Dayton Court;758-555-0120;10+ Km.;Norte;57;1;Cluster-1;Basic
339;Lucas;Gonzalez;28722;S;M;lucas0@mineriadedatos.com.ar;60000;0;0;Estudios universitarios (en curso);Obrero especializado;1;2;304 Diver Way;213-555-0171;5-10 Km.;Norte;34;1;Cluster-1;Basic
260;Tamara;Andersen;24275;C;F;tamara24@mineriadedatos.com.ar;40000;0;0;Licenciatura;Profesional;1;0;5047 Northwood Dr.;500 555-0133;0-1 Km.;Centro;46;1;Cluster-1;Basic
211;Terrence;Anand;26036;S;M;terrence23@mineriadedatos.com.ar;40000;2;2;Estudios universitarios (en curso);Administrativo;1;1;9215  rue LÃ©o Delibes;500 555-0160;1-2 Km.;Centro;42;1;Cluster-1;Basic
24;Katrina;Nara;26574;C;F;katrina15@mineriadedatos.com.ar;110000;0;5;EducaciÃ³n secundaria;GestiÃ³n;1;3;5828 E. 102nd Street;500 555-0135;10+ Km.;Sur;40;1;Cluster-2;Kinder y Sports
310;Mariah;Coleman;24945;C;F;mariah10@mineriadedatos.com.ar;80000;0;0;Licenciatura;GestiÃ³n;0;1;9815 Marlboro Court;632-555-0154;0-1 Km.;Norte;45;1;Cluster-3;Basic
536;Tamara;Nath;24363;S;F;tamara28@mineriadedatos.com.ar;70000;5;0;Estudios de postgrado;Profesional;1;0;4555 Hackney Lane;961-555-0131;2-5 Km.;Norte;46;1;Cluster-1;Basic
314;Bryce;Peterson;25828;C;M;bryce5@mineriadedatos.com.ar;70000;4;0;Estudios de postgrado;Profesional;1;0;6451 Greenwood Pl.;492-555-0163;0-1 Km.;Norte;42;1;Cluster-1;Basic
