IdCiudad;Nombre;Apellido;FechaNacimiento;EstadoCivil;Genero;Email;IngresoAnual;TotalHijos;CantHijosEnCasa;Educacion;Ocupacion;Propietario;CantAutomoviles;Direccion;Telefono;Distancia;Region;Edad;prediction(ComproBicicleta)
338;Amanda;Ramirez;22/10/1980 00:00;S;F;amanda16@mineriadedatos.com.ar;20000;0;0;'Estudios universitarios (en curso)';'Obrero especializado';0;2;'1 Smiling Tree Court';486-555-0148;'1-2 Km.';Norte;32;0
7;Kaitlin;McDonald;3/9/1958 00:00;C;F;kaitlin14@mineriadedatos.com.ar;100000;1;1;Licenciatura;Gestión;1;3;'3543 Lori Dr.';'500 555-0134';'2-5 Km.';Sur;54;0
39;Darryl;Liu;26/5/1975 00:00;S;M;darryl4@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;2;'4404 Mildred Avenue';'500 555-0157';'5-10 Km.';Sur;37;1
40;Frank;Ruiz;10/12/1953 00:00;S;M;frank32@mineriadedatos.com.ar;40000;3;0;'Estudios universitarios (en curso)';'Obrero especializado';1;2;'330 Jamie Way';'500 555-0164';'5-10 Km.';Sur;59;0
36;Jake;Lin;5/10/1947 00:00;S;M;jake8@mineriadedatos.com.ar;20000;4;0;'Educación secundaria';'Obrero especializado';0;2;'3567 Sierra Street';'500 555-0155';'1-2 Km.';Sur;65;0
147;Dale;Lal;27/2/1951 00:00;S;M;dale7@mineriadedatos.com.ar;90000;4;1;'Educación secundaria';Profesional;1;3;'Postfach 20 99 99';'500 555-0130';'10+ Km.';Centro;62;0
38;Sergio;Raman;19/10/1977 00:00;S;M;sergio12@mineriadedatos.com.ar;10000;0;0;'Educación secundaria';Obrero;0;2;'5232 Fourth St.';'500 555-0187';'0-1 Km.';Sur;35;0
209;Katelyn;Peterson;20/1/1973 00:00;S;F;katelyn3@mineriadedatos.com.ar;30000;0;0;'Estudios universitarios (en curso)';Administrativo;1;1;'332  boulevard d´Albi';'500 555-0137';'2-5 Km.';Centro;40;1
220;Bharat;Mirchandani;4/9/1965 00:00;S;M;bharat0@mineriadedatos.com.ar;10000;4;3;'Educación secundaria (en curso)';Obrero;1;2;'33  place de la République';'500 555-0113';'0-1 Km.';Centro;47;0
187;Bryan;Bell;7/6/1967 00:00;S;M;bryan14@mineriadedatos.com.ar;10000;3;3;'Educación secundaria';Obrero;1;1;'34  place Beaubernard';'500 555-0171';'0-1 Km.';Centro;45;1
23;Alexis;Long;7/4/1979 00:00;S;F;alexis32@mineriadedatos.com.ar;10000;1;1;'Educación secundaria';Obrero;0;0;'3376 Jacaranda Dr.';'500 555-0174';'1-2 Km.';Sur;34;1
180;Edgar;Rana;4/3/1966 00:00;C;M;edgar12@mineriadedatos.com.ar;30000;1;1;Licenciatura;'Obrero especializado';1;2;'99  rue de l\'Espace De Schengen';'500 555-0167';'0-1 Km.';Centro;47;0
133;Cynthia;Perez;19/3/1957 00:00;C;F;cynthia27@mineriadedatos.com.ar;130000;2;4;'Estudios universitarios (en curso)';Profesional;1;2;'Im Himmelsweg 89';'500 555-0142';'0-1 Km.';Centro;56;1
219;Nicolas;Chande;2/11/1974 00:00;S;M;nicolas13@mineriadedatos.com.ar;30000;0;0;'Estudios universitarios (en curso)';Administrativo;0;1;'44  rue du Départ';'500 555-0115';'0-1 Km.';Centro;38;0
631;Julia;Wilson;2/11/1960 00:00;C;F;julia29@mineriadedatos.com.ar;100000;3;2;'Estudios universitarios (en curso)';Profesional;1;4;'9169 Olivera Road';265-555-0181;'5-10 Km.';Norte;52;0
383;Daniel;Lee;9/9/1935 00:00;S;M;daniel13@mineriadedatos.com.ar;130000;2;3;'Estudios de postgrado';Gestión;0;3;'4575 Shannondale Drive';826-555-0171;'2-5 Km.';Norte;77;0
631;Megan;Peterson;21/7/1964 00:00;S;F;megan42@mineriadedatos.com.ar;40000;0;0;Licenciatura;Profesional;0;1;'5553 Kahrs Avenue';140-555-0111;'0-1 Km.';Norte;48;0
25;Seth;Campbell;1/8/1968 00:00;C;M;seth43@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;1;'3639 Blackridge Drive';'500 555-0180';'0-1 Km.';Sur;44;1
199;Kaitlin;Lopez;10/11/1947 00:00;C;F;kaitlin15@mineriadedatos.com.ar;90000;5;0;'Educación secundaria (en curso)';'Obrero especializado';1;2;'5  route de Marseille';'500 555-0165';'10+ Km.';Centro;65;0
32;Aaron;Powell;25/12/1958 00:00;C;M;aaron8@mineriadedatos.com.ar;90000;2;0;Licenciatura;Profesional;1;1;'9333 Georgia Street';'500 555-0168';'5-10 Km.';Sur;54;0
49;Ebony;Fernandez;18/2/1948 00:00;S;F;ebony16@mineriadedatos.com.ar;40000;2;1;'Educación secundaria';Profesional;1;2;'6228 Palm Avenue';454-555-0184;'10+ Km.';Norte;65;0
226;Willie;Luo;26/11/1963 00:00;S;M;willie25@mineriadedatos.com.ar;30000;2;2;'Estudios universitarios (en curso)';Administrativo;0;2;'76  rue de Berri';'500 555-0143';'0-1 Km.';Centro;49;0
369;Hannah;Price;19/3/1974 00:00;S;F;hannah23@mineriadedatos.com.ar;30000;0;0;'Estudios universitarios (en curso)';'Obrero especializado';1;1;'8586 D Kiska Ct.';657-555-0114;'5-10 Km.';Norte;39;1
139;Bradley;Xu;4/8/1964 00:00;S;M;bradley7@mineriadedatos.com.ar;20000;2;2;'Educación secundaria';Obrero;1;2;'Erftplatz 93';'500 555-0127';'0-1 Km.';Centro;48;0
231;Donald;Arun;22/7/1962 00:00;S;M;donald8@mineriadedatos.com.ar;20000;1;0;'Estudios de postgrado';Obrero;1;0;'2461 Stephine Way';'500 555-0140';'0-1 Km.';Centro;50;0
168;Meredith;Sai;25/3/1961 00:00;C;F;meredith4@mineriadedatos.com.ar;30000;4;0;'Estudios de postgrado';Administrativo;1;0;'Parkstr 4852';'500 555-0158';'0-1 Km.';Centro;52;1
2;Brianna;Johnson;1/1/1964 00:00;S;F;brianna1@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;1;'7458 Windmill Way';'500 555-0115';'5-10 Km.';Sur;49;0
302;Mason;Sanchez;7/3/1959 00:00;S;M;mason16@mineriadedatos.com.ar;40000;2;0;'Estudios universitarios (en curso)';Administrativo;0;1;'1028 Royal Oak Rd.';171-555-0123;'0-1 Km.';Norte;54;0
71;Kaitlyn;Young;20/12/1974 00:00;S;F;kaitlyn23@mineriadedatos.com.ar;50000;0;0;'Educación secundaria';Profesional;1;2;'1058 Kirker Pass Road';370-555-0122;'5-10 Km.';Norte;38;0
634;Luke;Hernandez;5/7/1962 00:00;C;M;luke47@mineriadedatos.com.ar;70000;1;0;'Estudios universitarios (en curso)';'Obrero especializado';1;1;'5749 Elkwood Dr.';367-555-0120;'2-5 Km.';Norte;50;1
22;Dana;Diaz;1/4/1971 00:00;C;F;dana19@mineriadedatos.com.ar;160000;4;5;'Educación secundaria (en curso)';Gestión;0;4;'2241 Concord Place';'500 555-0194';'10+ Km.';Sur;42;1
266;Micheal;Alvarez;4/10/1962 00:00;C;M;micheal1@mineriadedatos.com.ar;20000;1;0;'Estudios de postgrado';Administrativo;1;0;'6261 Chestnut Avenue';'500 555-0146';'0-1 Km.';Centro;50;0
18;Cesar;Kapoor;28/1/1957 00:00;C;M;cesar1@mineriadedatos.com.ar;70000;2;0;'Educación secundaria';'Obrero especializado';1;2;'6387 Scenic Avenue';'500 555-0118';'5-10 Km.';Sur;56;1
301;Clinton;Serrano;6/12/1965 00:00;C;M;clinton13@mineriadedatos.com.ar;110000;2;2;Licenciatura;Gestión;1;3;'7700 Meaham Drive';158-555-0197;'2-5 Km.';Norte;47;1
627;James;Walker;23/2/1950 00:00;C;M;james96@mineriadedatos.com.ar;60000;2;1;'Estudios universitarios (en curso)';Profesional;1;2;'9142 Altura Drive';314-555-0135;'10+ Km.';Norte;63;0
648;Miguel;Johnson;28/11/1958 00:00;C;M;miguel0@mineriadedatos.com.ar;40000;1;0;'Estudios universitarios (en curso)';Administrativo;0;1;'7070 W. Watson Court';774-555-0187;'0-1 Km.';Norte;54;0
22;Lacey;Pal;16/2/1955 00:00;S;F;lacey2@mineriadedatos.com.ar;80000;2;0;'Estudios universitarios (en curso)';'Obrero especializado';0;2;'6890 Highland Road';'500 555-0197';'1-2 Km.';Sur;58;1
245;Randall;Torres;17/10/1964 00:00;C;M;randall13@mineriadedatos.com.ar;40000;1;0;Licenciatura;'Obrero especializado';1;0;'2319 Hilltop Dr.';'500 555-0160';'0-1 Km.';Centro;48;1
50;Edward;Foster;23/7/1968 00:00;C;M;edward64@mineriadedatos.com.ar;90000;4;4;Licenciatura;Gestión;1;1;'2106 Chilpancingo Pkwy.';829-555-0111;'0-1 Km.';Norte;44;1
310;Karl;Luo;3/3/1967 00:00;S;M;karl6@mineriadedatos.com.ar;60000;0;0;'Estudios de postgrado';Profesional;1;1;'5581 Stanford Street';830-555-0162;'2-5 Km.';Norte;46;0
348;Emma;Garcia;14/4/1971 00:00;C;F;emma15@mineriadedatos.com.ar;60000;1;0;'Estudios de postgrado';'Obrero especializado';1;0;'7259 Brock Lane';191-555-0164;'1-2 Km.';Norte;42;0
20;Latoya;Nath;12/3/1970 00:00;S;F;latoya17@mineriadedatos.com.ar;90000;2;0;Licenciatura;Profesional;0;0;'1362 Geary Road';'500 555-0183';'0-1 Km.';Sur;43;1
261;Sandra;Zhao;6/7/1966 00:00;C;F;sandra17@mineriadedatos.com.ar;40000;0;0;Licenciatura;Profesional;1;0;'4698 G Street';'500 555-0162';'0-1 Km.';Centro;46;1
631;Caitlin;Sanders;25/8/1963 00:00;S;F;caitlin3@mineriadedatos.com.ar;90000;0;0;'Estudios universitarios (en curso)';Profesional;1;1;'6820 Willow Pass Dr';506-555-0115;'10+ Km.';Norte;49;0
374;Zachary;Powell;4/9/1972 00:00;S;M;zachary7@mineriadedatos.com.ar;80000;0;0;Licenciatura;Gestión;0;1;'3115 Warmcastle Ct';615-555-0121;'0-1 Km.';Norte;40;0
298;Caroline;Wood;23/2/1951 00:00;S;F;caroline4@mineriadedatos.com.ar;40000;3;0;'Estudios universitarios (en curso)';Profesional;0;2;'8406 S Royal Links Circle';579-555-0141;'1-2 Km.';Norte;62;0
53;Eduardo;Turner;18/10/1944 00:00;C;M;eduardo38@mineriadedatos.com.ar;70000;5;0;Licenciatura;Gestión;1;2;'5345 Willow Avenue';500-555-0170;'1-2 Km.';Norte;68;0
246;Kate;Jai;26/5/1972 00:00;S;F;kate9@mineriadedatos.com.ar;40000;2;2;'Estudios universitarios (en curso)';Administrativo;1;0;'8307 Monument Blvd.';'500 555-0150';'0-1 Km.';Centro;40;1
322;Brianna;Moore;20/2/1969 00:00;C;F;brianna6@mineriadedatos.com.ar;50000;2;2;Licenciatura;'Obrero especializado';1;0;'2545 Crowe Place';590-555-0112;'0-1 Km.';Norte;44;1
301;Geoffrey;Martinez;20/8/1949 00:00;C;M;geoffrey15@mineriadedatos.com.ar;60000;2;1;Licenciatura;Gestión;1;0;'1305 Rain Drop Circle';368-555-0168;'2-5 Km.';Norte;63;0
174;Darren;Weber;22/6/1956 00:00;S;M;darren6@mineriadedatos.com.ar;10000;2;0;'Estudios universitarios (en curso)';Obrero;0;0;'Parise Straße 6446';'500 555-0160';'0-1 Km.';Centro;56;0
310;Janelle;Raman;23/10/1953 00:00;C;F;janelle9@mineriadedatos.com.ar;60000;3;1;'Educación secundaria';Profesional;1;2;'3591 East 18th Street';719-555-0119;'10+ Km.';Norte;59;0
31;Rebekah;Diaz;9/12/1950 00:00;C;F;rebekah23@mineriadedatos.com.ar;20000;2;1;'Educación secundaria (en curso)';Administrativo;1;2;'1133 Beauer Lane';'500 555-0116';'5-10 Km.';Sur;62;0
70;Jack;Powell;21/7/1955 00:00;C;M;jack9@mineriadedatos.com.ar;60000;2;0;'Educación secundaria';Profesional;0;2;'879 South Royal Links';659-555-0151;'5-10 Km.';Norte;57;0
383;Jose;Yang;12/12/1963 00:00;C;M;jose21@mineriadedatos.com.ar;160000;1;1;Licenciatura;Gestión;1;4;'5491 Martindale Drive';186-555-0112;'0-1 Km.';Norte;49;0
68;Samantha;Brown;18/3/1957 00:00;C;F;samantha5@mineriadedatos.com.ar;60000;2;0;'Educación secundaria';Profesional;1;2;'2768 Creekside Dr.';526-555-0115;'5-10 Km.';Norte;56;0
60;David;Powell;6/4/1961 00:00;C;M;david41@mineriadedatos.com.ar;60000;1;0;'Estudios universitarios (en curso)';'Obrero especializado';1;1;'6774 Alier Drive';205-555-0184;'2-5 Km.';Norte;52;1
7;Carrie;Munoz;8/4/1976 00:00;C;F;carrie7@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;1;3;'5558 Kaitlin Pl.';'500 555-0120';'10+ Km.';Sur;37;1
70;Amanda;Collins;17/3/1959 00:00;C;F;amanda46@mineriadedatos.com.ar;550000;4;0;'Estudios de postgrado';'Obrero especializado';1;0;'9663 East 38th St';806-555-0151;'1-2 Km.';Norte;54;1
316;Timothy;Sanchez;13/12/1961 00:00;C;M;timothy19@mineriadedatos.com.ar;40000;4;3;'Educación secundaria';'Obrero especializado';1;3;'3591 Pepperidge Way';480-555-0112;'10+ Km.';Norte;51;0
222;Karl;Sharma;12/2/1980 00:00;S;M;karl10@mineriadedatos.com.ar;20000;0;0;'Educación secundaria (en curso)';Obrero;0;2;'22  rue du Puits Dixme';'500 555-0159';'0-1 Km.';Centro;33;0
124;Mitchell;Xu;26/11/1961 00:00;C;M;mitchell4@mineriadedatos.com.ar;10000;1;0;Licenciatura;Obrero;1;0;'Celler Weg 4030';'500 555-0136';'0-1 Km.';Centro;51;0
539;Miguel;Diaz;27/12/1967 00:00;S;M;miguel68@mineriadedatos.com.ar;50000;0;0;'Estudios universitarios (en curso)';'Obrero especializado';0;1;'2824 Meadowvale Court';744-555-0121;'2-5 Km.';Norte;45;0
185;Ruben;Chandra;2/3/1971 00:00;C;M;ruben2@mineriadedatos.com.ar;30000;0;0;'Educación secundaria';Obrero;0;1;Midi-Couleurs;'500 555-0180';'1-2 Km.';Centro;42;1
69;Nicole;Jones;21/8/1938 00:00;C;F;nicole3@mineriadedatos.com.ar;110000;2;4;'Estudios de postgrado';Gestión;1;0;'7929 Blocking Ct.';808-555-0169;'5-10 Km.';Norte;74;0
312;Abigail;Jenkins;15/4/1969 00:00;S;F;abigail32@mineriadedatos.com.ar;50000;2;2;Licenciatura;'Obrero especializado';0;0;'4838 Second Street';135-555-0132;'0-1 Km.';Norte;44;1
234;Kate;Rai;3/11/1951 00:00;S;F;kate14@mineriadedatos.com.ar;130000;4;5;'Educación secundaria';Profesional;0;3;'7775 San Ysidro Court';'500 555-0136';'0-1 Km.';Centro;61;0
193;Audrey;Gomez;5/5/1966 00:00;S;F;audrey2@mineriadedatos.com.ar;30000;1;1;Licenciatura;Administrativo;0;1;'909  rue Saint Denis';'500 555-0197';'2-5 Km.';Centro;47;0
54;Taylor;Washington;21/8/1972 00:00;S;F;taylor38@mineriadedatos.com.ar;80000;0;0;Licenciatura;Gestión;1;1;'2679 Eagle Peak';170-555-0113;'1-2 Km.';Norte;40;0
127;Tristan;Hughes;25/6/1973 00:00;S;M;tristan12@mineriadedatos.com.ar;30000;0;0;'Educación secundaria';Obrero;0;1;'Platz des Landtags 33';'500 555-0121';'1-2 Km.';Centro;39;0
548;Cindy;Foster;21/7/1936 00:00;S;F;cindy27@mineriadedatos.com.ar;50000;2;0;'Estudios de postgrado';Gestión;1;2;'3348 Del Vista Court';337-555-0150;'5-10 Km.';Norte;76;0
358;Sara;Howard;17/4/1962 00:00;S;F;sara12@mineriadedatos.com.ar;70000;1;0;Licenciatura;Profesional;0;1;'4730 Peterson Place';141-555-0158;'0-1 Km.';Norte;51;0
627;Robert;Foster;25/2/1947 00:00;C;M;robert28@mineriadedatos.com.ar;70000;2;1;'Estudios universitarios (en curso)';Profesional;1;1;'2964 Mt. Washington';963-555-0171;'10+ Km.';Norte;66;0
197;Frank;Gomez;3/5/1965 00:00;S;M;frank31@mineriadedatos.com.ar;30000;2;2;'Estudios universitarios (en curso)';Administrativo;1;1;'22  rue de Bas Marin';'500 555-0123';'0-1 Km.';Centro;48;0
8;Clayton;Sharma;4/12/1980 00:00;S;M;clayton27@mineriadedatos.com.ar;10000;0;0;'Estudios universitarios (en curso)';Obrero;0;1;'9429 Geraldine Dr';'500 555-0188';'2-5 Km.';Sur;32;0
213;Emmanuel;Subram;18/5/1962 00:00;S;M;emmanuel12@mineriadedatos.com.ar;10000;1;0;'Estudios de postgrado';Obrero;1;0;'331  rue Pierre-Demoulin';'500 555-0136';'0-1 Km.';Centro;51;0
25;Adam;Flores;24/5/1949 00:00;C;M;adam10@mineriadedatos.com.ar;20000;2;1;'Educación secundaria (en curso)';Administrativo;1;2;'6935 Candle Dr';'500 555-0163';'1-2 Km.';Sur;63;0
260;Jay;Sanz;9/10/1959 00:00;S;M;jay50@mineriadedatos.com.ar;30000;3;0;'Estudios de postgrado';Administrativo;1;0;'5591 Garcia Ranch Road';'500 555-0159';'0-1 Km.';Centro;53;1
34;Robin;Carlson;28/7/1956 00:00;C;F;robin14@mineriadedatos.com.ar;80000;2;0;'Educación secundaria';'Obrero especializado';1;2;'4579 Glenside Drive';'500 555-0170';'5-10 Km.';Sur;56;1
302;Miguel;Perry;6/4/1946 00:00;C;M;miguel54@mineriadedatos.com.ar;70000;5;0;Licenciatura;Gestión;0;3;'9446 Camelback Ct.';203-555-0116;'2-5 Km.';Norte;67;0
53;Chloe;Campbell;5/11/1949 00:00;C;F;chloe4@mineriadedatos.com.ar;40000;2;1;'Educación secundaria';Profesional;1;2;'3562 East Ave.';205-555-0169;'2-5 Km.';Norte;63;0
31;Colin;Xu;15/6/1960 00:00;S;M;colin13@mineriadedatos.com.ar;60000;1;0;'Estudios universitarios (en curso)';'Obrero especializado';1;1;'5133 Serrana Ct.';'500 555-0179';'5-10 Km.';Sur;52;1
165;Audrey;Suarez;21/8/1972 00:00;S;F;audrey21@mineriadedatos.com.ar;10000;0;0;'Educación secundaria (en curso)';Obrero;1;2;'Postfach 99 01 01';'500 555-0148';'1-2 Km.';Centro;40;0
299;Darren;Blanco;6/11/1944 00:00;S;M;darren38@mineriadedatos.com.ar;70000;5;0;Licenciatura;Gestión;1;2;'3457 Hitchcock';126-555-0199;'10+ Km.';Norte;68;0
641;Tyler;Robinson;23/10/1970 00:00;C;M;tyler16@mineriadedatos.com.ar;70000;3;0;'Estudios de postgrado';Profesional;1;0;'8069 Vine Hill Way';936-555-0175;'2-5 Km.';Norte;42;1
299;Hunter;Anderson;22/4/1967 00:00;S;M;hunter68@mineriadedatos.com.ar;110000;0;1;'Estudios de postgrado';Gestión;1;1;'665 Mark Twain Dr.';107-555-0195;'10+ Km.';Norte;46;0
151;Marvin;Browning;24/10/1965 00:00;C;M;marvin16@mineriadedatos.com.ar;40000;1;0;Licenciatura;'Obrero especializado';1;0;'Buergermeister-ulrich-str 098';'500 555-0155';'0-1 Km.';Centro;47;1
644;Brianna;Alexander;20/3/1938 00:00;C;F;brianna64@mineriadedatos.com.ar;90000;5;0;Licenciatura;Gestión;1;2;'6608 Calle Verde Dr.';242-555-0137;'5-10 Km.';Norte;75;1
40;Glenn;Wu;14/4/1940 00:00;C;M;glenn7@mineriadedatos.com.ar;40000;2;0;Licenciatura;Gestión;0;2;'5934 Warmcastle Ct.';'500 555-0127';'0-1 Km.';Sur;73;1
300;Jada;Collins;7/9/1967 00:00;S;F;jada15@mineriadedatos.com.ar;70000;2;2;Licenciatura;'Obrero especializado';1;1;'1978 Medina Dr.';169-555-0194;'2-5 Km.';Norte;45;1
611;Eduardo;Thompson;26/12/1964 00:00;S;M;eduardo14@mineriadedatos.com.ar;60000;4;2;Licenciatura;'Obrero especializado';0;2;'4924 Mariposa';973-555-0110;'0-1 Km.';Norte;48;0
254;Cindy;Garcia;9/4/1944 00:00;C;F;cindy15@mineriadedatos.com.ar;130000;3;4;Licenciatura;Gestión;1;4;'1775 Chocolate Court';'500 555-0178';'0-1 Km.';Centro;69;1
315;Julia;Howard;27/8/1942 00:00;C;F;julia56@mineriadedatos.com.ar;70000;5;0;Licenciatura;Gestión;1;2;'6529 Buena Vista';187-555-0121;'10+ Km.';Norte;70;0
51;Jill;Martinez;23/8/1978 00:00;S;F;jill7@mineriadedatos.com.ar;40000;0;0;'Educación secundaria';'Obrero especializado';0;2;'3952 Morello Ave.';885-555-0112;'1-2 Km.';Norte;34;0
20;Meagan;Raman;21/11/1972 00:00;S;F;meagan12@mineriadedatos.com.ar;90000;0;0;Licenciatura;Profesional;1;3;'5640 Icicle Way';'500 555-0151';'10+ Km.';Sur;40;1
223;Brenda;Sai;16/7/1971 00:00;S;F;brenda9@mineriadedatos.com.ar;20000;0;0;'Educación secundaria (en curso)';Obrero;0;2;'2  rue Lamarck';'500 555-0171';'0-1 Km.';Centro;41;0
36;Jarrod;Suri;20/12/1963 00:00;S;M;jarrod0@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;2;'7265 Mt. Dell Dr.';'500 555-0128';'0-1 Km.';Sur;49;1
2;Carlos;Edwards;16/3/1963 00:00;C;M;carlos27@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;1;'5576 Westminster Pl.';'500 555-0181';'0-1 Km.';Sur;50;0
208;Elizabeth;Jenkins;11/10/1922 00:00;C;F;elizabeth36@mineriadedatos.com.ar;10000;3;0;Licenciatura;Administrativo;0;2;'785  rue de Varenne';'500 555-0178';'0-1 Km.';Centro;90;0
62;Jordan;Alexander;26/9/1974 00:00;C;M;jordan16@mineriadedatos.com.ar;50000;0;0;'Educación secundaria';Profesional;1;2;'4667 Cook Pk';170-555-0180;'5-10 Km.';Norte;38;0
49;Kristi;Ramos;1/3/1973 00:00;C;F;kristi13@mineriadedatos.com.ar;70000;0;0;'Estudios universitarios (en curso)';Profesional;1;2;'4594 Springer Court';187-555-0112;'5-10 Km.';Norte;40;1
301;Danielle;Cooper;26/7/1941 00:00;C;F;danielle20@mineriadedatos.com.ar;50000;3;0;Licenciatura;Gestión;1;2;'1161 Daffodil Dr.';657-555-0165;'10+ Km.';Norte;71;0
543;Vanessa;Griffin;14/5/1960 00:00;C;F;vanessa21@mineriadedatos.com.ar;90000;4;3;'Educación secundaria';Profesional;1;3;'337 Forest Way';497-555-0173;'5-10 Km.';Norte;53;0
301;Emma;Wilson;5/8/1958 00:00;S;F;emma6@mineriadedatos.com.ar;60000;3;2;Licenciatura;Profesional;0;0;'8195 Geary Ct.';165-555-0188;'0-1 Km.';Norte;54;0
607;Kayla;Williams;25/4/1976 00:00;C;F;kayla2@mineriadedatos.com.ar;40000;0;0;'Educación secundaria';'Obrero especializado';1;2;'3748 Bellwood Dr.';174-555-0183;'5-10 Km.';Norte;37;0
155;Christy;Zimmerman;3/11/1978 00:00;S;F;christy0@mineriadedatos.com.ar;30000;3;3;'Estudios universitarios (en curso)';Administrativo;1;2;'Roßstr 5538';'500 555-0185';'0-1 Km.';Centro;34;0
24;Sheena;Pal;22/1/1961 00:00;S;F;sheena10@mineriadedatos.com.ar;60000;1;0;Licenciatura;Profesional;1;1;'4399 Price Lane';'500 555-0169';'5-10 Km.';Sur;52;1
368;Edward;Price;16/4/1962 00:00;S;M;edward49@mineriadedatos.com.ar;70000;1;0;Licenciatura;Profesional;0;1;'266 H Street';589-555-0197;'2-5 Km.';Norte;51;0
